19.04.2015                                                                                  Dynamic List Display                                                                                          1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OLTPSOURCE                    |LOGSYS    |OBJVERS|ISOURCE                      |TRANSTRU                  |ISOSTYPE|ISTYPE|TSTPNM  |           TIMESTMP|CONTREL|       CONTTIMESTMP|ISSRCTYPE|INVISIBLE|
|  0ACTTYPE_TEXT                 |P20CLNT023|D      |0ACTTYPE                     |X                         |O       |T     |        |                 0 |2.0/02 |20,000,511,150,732 |         |         |
|  0ACTTYPE_TEXT                 |ZFLATF_LEG|A      |0ACTTYPE                     |0ACTTYPE_TEXT_OB          |O       |T     |10109911|20,071,212,063,338 |       |                 0 |         |         |
|  0ACTY_ELEMT_ATTR              |P20CLNT023|A      |0ACTY_ELEMT                  |0ACTY_ELEMT_ATTR_PA       |O       |M     |        |                 0 |3.2/01 |20,030,414,111,828 |         |         |
|  0ACTY_ELEMT_ATTR              |P20CLNT023|D      |0ACTY_ELEMT                  |X                         |O       |M     |        |                 0 |3.2/01 |20,030,414,111,828 |         |         |
|  0ACTY_ELEMT_TEXT              |P20CLNT023|A      |0ACTY_ELEMT                  |0ACTY_ELEMT_TEXT_PA       |O       |T     |        |                 0 |3.1/01 |20,021,030,081,320 |         |         |
|  0ACTY_ELEMT_TEXT              |P20CLNT023|D      |0ACTY_ELEMT_TEXT             |X                         |I       |D     |        |                 0 |7.0/03 |20,070,702,104,010 |         |         |
|  0ACTY_ELEMT_USR_ATTR          |P20CLNT023|D      |0ACTY_ELEMT_USR_ATTR         |X                         |I       |D     |        |                 0 |7.0/03 |20,070,717,133,119 |         |         |
|  0ACT_CAT_TEXT                 |P20CLNT023|D      |0ACT_CAT                     |X                         |O       |T     |        |                 0 |3.5/02 |20,031,223,125,128 |         |         |
|  0ACT_PROC_TEXT                |P20CLNT023|D      |0ACT_PROC                    |X                         |O       |T     |        |                 0 |3.5/02 |20,031,222,161,748 |         |         |
|  0ACT_STAT_TEXT                |P20CLNT023|D      |0ACT_STAT                    |X                         |O       |T     |        |                 0 |3.5/02 |20,031,222,164,219 |         |         |
|  0ACT_TYPE_TEXT                |P20CLNT023|D      |0ACT_TYPE                    |X                         |O       |T     |        |                 0 |3.5/02 |20,031,222,163,442 |         |         |
|  0AC_DOC_TYP_TEXT              |P20CLNT023|A      |0AC_DOC_TYP                  |0AC_DOC_TYP_TEXT_PA       |O       |T     |        |19,990,703,051,631 |       |                 0 |         |         |
|  0AC_DOC_TYP_TEXT              |P20CLNT023|D      |0AC_DOC_TYP                  |X                         |O       |T     |        |                 0 |3.0/01 |20,010,516,120,535 |         |         |
|  0ADJTYPE_TEXT                 |P20CLNT023|D      |0ADJTYPE                     |X                         |O       |T     |        |                 0 |2.0/02 |20,000,321,152,418 |         |         |
|  0ADVERT_ATTR                  |P20CLNT023|D      |0ADVERT                      |X                         |O       |M     |        |                 0 |3.3/01 |20,030,702,104,431 |         |         |
|  0ADVERT_TEXT                  |P20CLNT023|D      |0ADVERT                      |X                         |O       |T     |        |                 0 |3.1/01 |20,020,723,164,629 |         |         |
|  0AGE_RANGE_TEXT               |P20CLNT023|D      |0AGE_RANGE                   |X                         |O       |T     |        |                 0 |3.3/01 |20,030,702,134,013 |         |         |
|  0AIRCRAFT_TYPE_TEXT           |P20CLNT023|D      |0AD_AIR_TYP                  |X                         |O       |T     |        |                 0 |2.0/02 |20,000,321,165,642 |         |         |
|  0AMOUNT_TYP_TEXT              |P20CLNT023|D      |0AMOUNT_TYP                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,831,124,023 |         |         |
|  0ANNUL_REA_TEXT               |P20CLNT023|D      |0ANNUL_REA                   |X                         |O       |T     |        |                 0 |3.3/01 |20,030,702,095,407 |         |         |
|  0APO_ATPCATEG_TEXT            |P2SCLNT023|D      |0APO_ATPCAT                  |X                         |O       |T     |        |                 0 |7.0/03 |20,080,115,145,101 |         |         |
